id,category,weight,minChapter,maxChapter,oncePerRun,requires,excludes,hasChoices,text,apply,log
common_patrol_rumor_001,common,10,1,6,false,enemyAlive>=2,,false,巡回中に敵陣営の噂を掴んだ,intel+1,看破進行がわずかに進んだ。
common_mana_leak_001,common,8,1,6,false,,,false,霊脈の乱れで魔力が散逸した,mana-6,想定外の消耗で魔力が低下した。
common_civil_guard_001,common,6,1,6,false,,,false,一般人の避難誘導が成功した,civilianDamage-1|idealPoints+1,被害を抑え理想点が上昇した。
common_leyline_echo_001,common,7,1,6,false,,,false,霊脈の残響を観測して敵動向を読んだ,intel+1|mana+2,観測成果で看破と魔力がわずかに向上した。
common_supply_cache_001,common,6,1,6,false,,,false,使える補給物資を確保した,mana+5,戦闘準備に回せる魔力余剰を得た。
common_refuge_delay_001,common,5,1,6,false,enemyAlive>=3,,false,避難誘導が遅れて市街に混乱が残った,civilianDamage+1,後方混乱により一般被害が増加した。
common_watchpost_shift_001,common,6,1,6,false,,,false,監視拠点を移し夜戦に有利な視界を確保した,tacticalAdvantage+1,先制配置に近い地形優位を確保した。
common_medical_support_001,common,5,1,6,false,,,false,協力医療班の応急処置を受けた,hp+5,負傷が軽減され行動継続が容易になった。
common_false_alarm_001,common,4,1,6,false,,,false,虚報に振り回されて時間を失った,mana-3,空振り対応で魔力が目減りした。
common_public_praise_001,common,4,2,6,false,,,false,被害抑止行動が評価され協力者が増えた,idealPoints+1,信頼が高まり理想点が上昇した。
common_public_backlash_001,common,4,3,6,false,,,false,隠密行動が誤解され地域の反発を招いた,idealPoints-1|civilianDamage+1,風評悪化で理想点低下と一般被害増加が発生した。
common_ceasefire_mediator_001,common,3,2,6,false,allianceState=none,,false,仲介者が現れ限定停戦の余地が生まれた,allianceState=ceasefire,同盟未成立状態から停戦状態へ移行した。
common_intel_breakthrough_001,common,3,4,6,false,enemyAlive>=2,,false,敵の行動パターンを突き止めた,intel+1|tacticalAdvantage+1,看破進行と夜戦優位を同時に獲得した。
build_bloodline_surge_001,masterBuild,7,1,6,false,masterBuild=血統型,,false,血統由来の回路が活性化した,mana+8,血統適性が働き魔力が増加した。
build_field_intuition_001,masterBuild,7,1,6,false,masterBuild=現場型,,false,現場勘が働き危機を回避した,hp+6,被弾を抑え体勢を立て直した。
build_research_decode_001,masterBuild,7,1,6,false,masterBuild=研究型,,false,資料解析で敵情報を抽出した,intel+1|mana+3,解析成果で看破と魔力が改善した。
player_servant_pride_001,playerServant,9,1,6,true,playerServantKnown=true,,false,契約サーヴァントが戦意を示した,tacticalAdvantage+1,夜戦に向け戦術優位を得た。
enemy_shadow_001,enemyServant,5,1,6,false,enemyAlive>=3,rescueUsed,false,敵陣営の先行工作が確認された,civilianDamage+1,敵の工作により一般被害が増えた。
common_noop_001,common,1,1,6,false,,,false,日中は大きな動きなく経過した,,目立った戦果も損害もない。
